Facility Type,Visit Date,Average Time Spent
Specialty Center,2026-03-22,50.5
Hospital,2026-03-22,45
Clinic,2026-03-22,37
Specialty Center,2026-03-21,30.5
Hospital,2026-03-21,26
Clinic,2026-03-21,34.5
Specialty Center,2026-03-20,28.5
Hospital,2026-03-20,19
Clinic,2026-03-20,45
Specialty Center,2026-03-19,24.33
Hospital,2026-03-19,32.5
Clinic,2026-03-19,51
Hospital,2026-03-18,34.5
Specialty Center,2026-03-17,37.33
Hospital,2026-03-17,46.5
Clinic,2026-03-17,44.5
Specialty Center,2026-03-16,41
Hospital,2026-03-16,52
Clinic,2026-03-16,51.5
